id_element	data_type	family	range_inf	range_sup	color	filled_color	filled_transparence	svg_style	range_order
kpis.0071.01.01053	kpi	cellb	99	100	#000000	#009933	0.5	stroke-opacity:1;stroke:#000000;fill-opacity:1;fill:#009933	1
kpis.0071.01.01053	kpi	cellb	98	99	#000000	#33FF00	0.5	stroke-opacity:1;stroke:#000000;fill-opacity:1;fill:#33FF00	2
kpis.0071.01.01053	kpi	cellb	97	98	#000000	#FFFF00	0.5	stroke-opacity:1;stroke:#000000;fill-opacity:1;fill:#FFFF00	3
kpis.0071.01.01053	kpi	cellb	90	97	#000000	#FF9900	0.5	stroke-opacity:1;stroke:#000000;fill-opacity:1;fill:#FF9900	4
kpis.0071.01.01053	kpi	cellb	0	90	#000000	#FF0000	0.5	stroke-opacity:1;stroke:#000000;fill-opacity:1;fill:#FF0000	5
kpis.0071.01.01007	kpi	cellb	0	0.7	#000000	#009933	0.5	stroke-opacity:1;stroke:#000000;fill-opacity:1;fill:#009933	1
kpis.0071.01.01007	kpi	cellb	0.7	1	#000000	#33FF00	0.5	stroke-opacity:1;stroke:#000000;fill-opacity:1;fill:#33FF00	2
kpis.0071.01.01007	kpi	cellb	1	2	#000000	#FFFF00	0.5	stroke-opacity:1;stroke:#000000;fill-opacity:1;fill:#FFFF00	3
kpis.0071.01.01007	kpi	cellb	2	4	#000000	#FF9900	0.5	stroke-opacity:1;stroke:#000000;fill-opacity:1;fill:#FF9900	4
kpis.0071.01.01007	kpi	cellb	4	100	#000000	#FF0000	0.5	stroke-opacity:1;stroke:#000000;fill-opacity:1;fill:#FF0000	5
kpis.0071.01.01133	kpi	cellb	98	100	#000000	#009933	0.5	stroke-opacity:1;stroke:#000000;fill-opacity:1;fill:#009933	1
kpis.0071.01.01133	kpi	cellb	97	99	#000000	#33FF00	0.5	stroke-opacity:1;stroke:#000000;fill-opacity:1;fill:#33FF00	2
kpis.0071.01.01133	kpi	cellb	95	97	#000000	#FFFF00	0.5	stroke-opacity:1;stroke:#000000;fill-opacity:1;fill:#FFFF00	3
kpis.0071.01.01133	kpi	cellb	90	95	#000000	#FF9900	0.5	stroke-opacity:1;stroke:#000000;fill-opacity:1;fill:#FF9900	4
kpis.0071.01.01133	kpi	cellb	0	90	#000000	#FF0000	0.5	stroke-opacity:1;stroke:#000000;fill-opacity:1;fill:#FF0000	5
kpis.0071.01.01095	kpi	cellb	98	100	#000000	#009933	0.5	stroke-opacity:1;stroke:#000000;fill-opacity:1;fill:#009933	1
